http://Kirov.IRR.ru/building/materials/,set()
http://Kirov.TvoyaSpravka.ru/categories/nerudnye_stroitelnye_materialy,set()
http://Kirov.shopping-mall.su/%D1%81%D1%82%D1%80%D0%BE%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D1%81%D1%82%D0%B2%D0%BE-%D0%B8-%D1%80%D0%B5%D0%BC%D0%BE%D0%BD%D1%82/%D1%81%D1%82%D1%80%D0%BE%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5-%D0%BC%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D1%8B,set()
http://Kirov.tiu.ru/Stroitelnye-materialy,support@tiu.ru
http://advisor.kmvcity.ru/%D0%BA%D0%B8%D1%80%D0%BE%D0%B2/%D1%81%D1%82%D1%80%D0%BE%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5_%D0%BE%D1%82%D0%B4%D0%B5%D0%BB%D0%BE%D1%87%D0%BD%D1%8B%D0%B5_%D0%BC%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D1%8B/%D1%81%D1%82%D1%80%D0%BE%D0%B8%D1%82%D0%B5%D0%BB%D1%8C%D0%BD%D1%8B%D0%B5_%D0%BC%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%B0%D0%BB%D1%8B,set()
http://akson.ru/,"Rating@Mail.ru, xb3@Mail.ru"
http://bazaobyavleniy.ru/?re=43&action=spisok_obyavlenii&id=163,"Rating@Mail.ru, xe3@Mail.ru, sas@protruba.ru, kamensha@yandex.ru, Ukr174@mail.ru"
http://best-stroy.ru/prices/kirov/r26/r26_2,"xe3@Mail.ru, Rating@Mail.ru"
http://delovoy-kirov.ru/rubric-2430688,"info@kvadr43.ru, xoz@balers.ru, do43@rambler.ru, secretar@balers.ru, xoz1@balers.ru, elene705@mail.ru"
http://fan-stroy.ru/kirov/stroitelnye-materialy-kirov.php,fan-stroy.info@yandex.ru
http://himtorgkirov.ru/,sale@himtorgkirov.ru
http://kirov.adresa-telefony.ru/stroitelnye_materialy,set()
http://kirov.barahla.net/91.html,"support@barahla.net, woodmari@bk.ru, kalininoks1988@mail.ru, m-kornishina@mail.ru, rosspeckrepeg@yandex.ru"
http://kirov.besplatnee.net/prodazha_betona_peska,kirov@besplatnee.net
http://kirov.budus.ru/products/42/stroimaterials/,set()
http://kirov.citytoday.org/stroitelnye_materialy.html,set()
http://kirov.dorus.ru/building/materials/,set()
http://kirov.gorod-plus.com/firmy/42597/,set()
